timestamp,script,model,purpose,tokens_in,tokens_out,cost_usd,cost_brl,extra_json
2026-06-01T23:03:23,test_gemini_image.py,google/gemini-3.1-flash-image-preview,teste inicial Lisboa,100,1500,0.000800,0.0048,
2026-06-01T23:03:23,test_openrouter_image.py,google/gemini-2.5-flash-image,teste comparativo Lisboa,100,1500,0.000200,0.0012,
2026-06-01T23:03:23,compare_gemini_25_vs_31.py,google/gemini-2.5-flash-image,compare Rio,100,1500,0.000200,0.0012,
2026-06-01T23:03:23,compare_gemini_25_vs_31.py,google/gemini-3.1-flash-image-preview,compare Rio,100,1500,0.000800,0.0048,
2026-06-01T23:03:23,render_pp_5_pilares.py,google/gemini-3.1-flash-image-preview,5 mocks PP-Travel,500,7500,0.004000,0.0240,
2026-06-01T23:03:23,test_grok_live_search.py,x-ai/grok-4.3,teste 3 variantes Live Search,60000,5000,0.160000,0.9600,
2026-06-01T23:03:23,test_veo_reflexivo.py,google/veo-3.1-fast,reel reflexivo janela aviao (Fast),,,0.720000,4.3200,
2026-06-01T23:03:23,gen_reel_reflexivo.py,google/veo-3.1-lite,reel reflexivo fjord (Lite),,,0.480000,2.8800,
2026-06-01T23:03:23,run_pp_sourcing.py,x-ai/grok-4.3,Q2 milhas + Q7 news (sourcing diario),35992,5263,0.058000,0.3480,
2026-06-01T23:03:23,skill_test_inspiracao.py,google/gemini-3.1-flash-image-preview,foto Lencois (post v1),200,1200,0.003500,0.0210,
2026-06-01T23:03:23,skill_test_inspiracao_v2.py,google/gemini-3.1-flash-image-preview,"reusou foto Lencois (cache, sem gasto)",0,0,0.000000,0.0000,
2026-06-01T23:03:23,post.py,google/gemini-3.1-flash-image-preview,foto Italia gastronomia,200,1000,0.003000,0.0180,
2026-06-01T23:03:23,post.py,google/gemini-3.1-flash-image-preview,foto Engajamento poltrona,200,1000,0.003000,0.0180,
2026-06-01T23:03:23,post.py,google/veo-3.1-lite,reel janela noturna,,,0.480000,2.8800,
2026-06-01T23:03:23,grok-viral-quotes-research,x-ai/grok-4.3,pesquisa viral X tweets viagem,25000,2000,0.040000,0.2400,
2026-06-01T23:05:51,research_italy_viral.py,x-ai/grok-4.3,busca viral frases Italia gastronomia,29250,2644,0.043173,0.2590,
2026-06-02T09:24:43,run_pp_sourcing.py,x-ai/grok-4.3,Q4 Destinos virais com foto/video (Inspiração),35108,2681,0.050588,0.3035,
2026-06-02T09:25:14,run_pp_sourcing.py,x-ai/grok-4.3,Q4 Destinos virais com foto/video (Inspiração),20898,1961,0.031025,0.1862,
2026-06-02T09:33:43,run_pp_sourcing.py,x-ai/grok-4.3,Q4 Destinos virais com foto/video (Inspiração),38943,3124,0.056489,0.3389,
2026-06-02T09:45:52,run_pp_sourcing.py,x-ai/grok-4.3,Q4 Destinos virais com foto/video (Inspiração),26230,2483,0.038995,0.2340,
2026-06-02T10:00:37,run_pp_sourcing.py,x-ai/grok-4.3,Q4 Destinos virais com foto/video (Inspiração),42335,2875,0.060106,0.3606,
2026-06-02T13:00:00,post.py,google/veo-3.1-lite,reel reflexivo: filosofia-de-viagem,,,0.480000,2.8800,"{""duration_s"": 6, ""aspect"": ""9:16""}"
2026-06-02T13:30:14,post.py,google/gemini-3.1-flash-image-preview,foto pro post: vencimento-de-milhas---como-nao-perder,133,1629,0.004953,0.0297,
2026-06-02T14:05:54,post.py,google/veo-3.1-lite,reel reflexivo: filosofia-de-viagem,,,0.480000,2.8800,"{""duration_s"": 6, ""aspect"": ""9:16""}"
2026-06-02T14:46:40,post.py,google/gemini-3.1-flash-image-preview,foto pro post: destino-sazonal-lisboa-em-junho-festas-d,123,1120,0.003422,0.0205,
